customer_id,age,income,risk_tolerance,investment_horizon,investment_goal,current_portfolio_value,age_risk_factor,income_risk_capacity,portfolio_concentration,horizon_score,risk_tolerance_score,goal_Education,goal_Home purchase,goal_Retirement,goal_Wealth building,income_portfolio_ratio,investment_capacity,composite_risk_score
1,52,120532,Low,Long-term,Home purchase,897457,0.48,0.60266,0.8978888845534703,3,1,False,True,False,False,0.13430392765335833,361596,1.1645320000000001
2,42,95065,Low,Long-term,Retirement,396486,0.5800000000000001,0.475325,0.3966768015415415,3,1,False,False,True,False,0.23976886951872198,285195,1.169065
3,54,61686,Low,Medium-term,Home purchase,710572,0.45999999999999996,0.30843,0.7109139496097623,2,1,False,True,False,False,0.08681175165922665,123372,0.899686
4,67,43327,Low,Medium-term,Wealth building,19637,0.32999999999999996,0.216635,0.019646449942422307,2,1,False,False,False,True,2.2063960890156338,86654,0.842327
5,41,84890,High,Short-term,Wealth building,839690,0.5900000000000001,0.42445,0.8400940852550076,1,3,False,False,False,True,0.10109683335516678,84890,1.3618899999999998
6,41,72892,High,Medium-term,Wealth building,963197,0.5900000000000001,0.36446,0.9636605207104617,2,3,False,False,False,True,0.07567714600439993,145784,1.5498919999999998
7,68,93675,Low,Medium-term,Home purchase,937328,0.31999999999999995,0.468375,0.9377790717335038,2,1,False,True,False,False,0.09993833535325948,187350,0.889675
8,56,82255,Medium,Medium-term,Education,663841,0.43999999999999995,0.411275,0.6641604611818285,2,2,True,False,False,False,0.12390768271317981,164510,1.214255
9,37,101192,Medium,Long-term,Education,561238,0.63,0.50596,0.5615080853890722,3,2,True,False,False,False,0.1803014051079934,303576,1.490192
10,53,45815,Low,Medium-term,Retirement,426704,0.47,0.229075,0.4269093433941726,2,1,False,False,True,False,0.10736951141775095,91630,0.886815
11,38,115693,Low,Long-term,Retirement,662158,0.62,0.578465,0.6624766512692605,3,1,False,False,True,False,0.17472113906348635,347079,1.2016930000000001
12,38,66091,Medium,Short-term,Wealth building,507760,0.62,0.330455,0.5080043500923944,1,2,False,False,False,True,0.1301618875059083,66091,1.0520909999999999
13,48,168996,Medium,Short-term,Retirement,10215,0.52,0.84498,0.010219915779489934,1,2,False,False,True,False,16.543906020558,168996,1.1249959999999999
14,18,42421,High,Long-term,Home purchase,377747,0.8200000000000001,0.212105,0.37792878374498134,3,3,False,True,False,False,0.11230003150256654,127263,1.788421
15,19,142626,Medium,Long-term,Home purchase,807955,0.81,0.71313,0.808343813374233,3,2,False,True,False,False,0.17652715807192232,427878,1.585626
16,36,66102,Low,Long-term,Retirement,865121,0.64,0.33051,0.8655373234525807,3,1,False,False,True,False,0.07640780884986031,198306,1.158102
17,29,43230,High,Medium-term,Retirement,33834,0.71,0.21615,0.03385028198563509,2,3,False,False,True,False,1.2777088136194361,86460,1.5562299999999998
18,49,47007,Low,Short-term,Retirement,306618,0.51,0.235035,0.3067655542315854,1,1,False,False,True,False,0.1533080249691799,47007,0.700007
19,31,51012,Low,Long-term,Retirement,577354,0.69,0.25506,0.5776318409154804,3,1,False,False,True,False,0.08835480485109655,153036,1.158012
20,23,74019,Medium,Medium-term,Wealth building,282544,0.77,0.370095,0.28267996906512033,2,2,False,False,False,True,0.26197335636219493,148038,1.3050190000000002
21,66,77762,Medium,Short-term,Wealth building,921643,0.33999999999999997,0.38881,0.9220865236178601,1,2,False,False,False,True,0.08437323345373425,77762,0.979762
22,41,44942,High,Medium-term,Retirement,544633,0.5900000000000001,0.22471,0.544895094540474,2,3,False,False,True,False,0.08251795245605757,89884,1.5219420000000001
23,46,59149,Medium,Short-term,Home purchase,43896,0.54,0.295745,0.043917124136709756,1,2,False,True,False,False,1.3474804082376526,59149,1.021149
24,23,174754,High,Medium-term,Wealth building,488646,0.77,0.87377,0.4888811518340322,2,3,False,False,False,True,0.357629040245904,349508,1.7057539999999998
25,36,142026,Medium,Short-term,Home purchase,825331,0.64,0.71013,0.8257281752522964,1,2,False,True,False,False,0.17208368521235723,142026,1.134026
26,46,74470,Medium,Short-term,Education,509387,0.54,0.37235,0.509632133056,1,2,True,False,False,False,0.14619532889531928,74470,1.03647
